aggregate_id,article_id,asset_id,sentiment_score,confidence_weight,recency_weight,duplicate_weight,source_weight,combined_weight,weighted_contribution,primary_event
agg_9afbb8b787bf4516b62d,news_001,bitcoin,0.6369,0.6369,0.561231,0.5,1.0,0.178724,0.113829,adoption_partnership
agg_9afbb8b787bf4516b62d,news_002,bitcoin,0.5859,0.5859,0.574349,0.5,1.0,0.168256,0.098581,adoption_partnership
agg_ee219994f7d775b10ba7,news_003,ethereum,-0.0772,0.1,0.529732,1.0,1.0,0.052973,-0.00409,security_incident
agg_e007bbad122463f2e9c0,news_004,bitcoin,0.1779,0.1779,0.5,1.0,1.0,0.08895,0.015824,regulation_legal
agg_4d8654e3bbd369bcf0a8,news_005,ethereum,0.4767,0.4767,0.629961,1.0,1.0,0.300302,0.143154,protocol_technical
agg_0f0a80b7e96c53d26a5b,news_006,bitcoin,0.296,0.296,0.529732,1.0,1.0,0.156801,0.046413,market_commentary
agg_b572a757b5ec00f2c4cd,news_006,ethereum,-0.3182,0.3182,0.529732,1.0,1.0,0.168561,-0.053636,market_commentary
agg_fcf5e203257904894a47,news_001,bitcoin,0.6369,0.6369,0.400689,0.5,1.0,0.127599,0.081268,adoption_partnership
agg_fcf5e203257904894a47,news_002,bitcoin,0.5859,0.5859,0.401461,0.5,1.0,0.117608,0.068907,adoption_partnership
agg_fcf5e203257904894a47,news_004,bitcoin,0.1779,0.1779,0.445449,1.0,1.0,0.079245,0.014098,regulation_legal
agg_fcf5e203257904894a47,news_006,bitcoin,0.296,0.296,0.502413,1.0,1.0,0.148714,0.044019,market_commentary
agg_8f6682d1d11f6399c24c,news_003,ethereum,-0.0772,0.1,0.422477,1.0,1.0,0.042248,-0.003262,security_incident
agg_8f6682d1d11f6399c24c,news_005,ethereum,0.4767,0.4767,0.481112,1.0,1.0,0.229346,0.109329,protocol_technical
agg_8f6682d1d11f6399c24c,news_006,ethereum,-0.3182,0.3182,0.502413,1.0,1.0,0.159868,-0.05087,market_commentary
